Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative
Hon.,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative
,Jag,Sahota,Calgary Skyview,Alberta,Conservative
,Ruby,Sahota,Brampton North,Ontario,Liberal
,Raj,Saini,Kitchener Centre,Ontario,Liberal
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal
,Ya'ara,Saks,York Centre,Ontario,Liberal
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal
,Ramesh,Sangha,Brampton Centre,Ontario,Independent
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal
,Bob,Saroya,Markham—Unionville,Ontario,Conservative
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative
Hon.,Deb,Schulte,King—Vaughan,Ontario,Liberal
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative
,Marc,Serré,Nickel Belt,Ontario,Liberal
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal
,Martin,Shields,Bow River,Alberta,Conservative
,Nelly,Shin,Port Moody—Coquitlam,British Columbia,Conservative
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative
,Maninder,Sidhu,Brampton East,Ontario,Liberal
,Sonia,Sidhu,Brampton South,Ontario,Liberal
,Gagan,Sikand,Mississauga—Streetsville,Ontario,Liberal
,Mario,Simard,Jonquière,Quebec,Bloc Québécois
,Scott,Simms,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Liberal
,Jagmeet,Singh,Burnaby South,British Columbia,NDP
,Derek,Sloan,Hastings—Lennox and Addington,Ontario,Independent
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal
,Gerald,Soroka,Yellowhead,Alberta,Conservative
,Sven,Spengemann,Mississauga—Lakeshore,Ontario,Liberal
,Bruce,Stanton,Simcoe North,Ontario,Conservative
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative
,Shannon,Stubbs,Lakeland,Alberta,Conservative
,David,Sweet,Flamborough—Glanbrook,Ontario,Conservative
,Marwan,Tabbara,Kitchener South—Hespeler,Ontario,Independent
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal
,Denis,Trudel,Longueuil—Saint-Hubert,Quebec,Bloc Québécois
,Ryan,Turnbull,Whitby,Ontario,Liberal
Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative
,Tony,Van Bynen,Newmarket—Aurora,Ontario,Liberal
,Adam,van Koeverden,Milton,Ontario,Liberal
,Tako,Van Popta,Langley—Aldergrove,British Columbia,Conservative
Hon.,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal
,Adam,Vaughan,Spadina—Fort York,Ontario,Liberal
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative
,Gary,Vidal,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative
,Julie,Vignola,Beauport—Limoilou,Quebec,Bloc Québécois
,Arif,Virani,Parkdale—High Park,Ontario,Liberal
,Brad,Vis,Mission—Matsqui—Fraser Canyon,British Columbia,Conservative
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative
,Len,Webber,Calgary Confederation,Alberta,Conservative
,Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative
Hon.,Jody,Wilson-Raybould,Vancouver Granville,British Columbia,Independent
Hon.,Alice,Wong,Richmond Centre,British Columbia,Conservative
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal
,Kate,Young,London West,Ontario,Liberal
,David,Yurdiga,Fort McMurray—Cold Lake,Alberta,Conservative
,Salma,Zahid,Scarborough Centre,Ontario,Liberal
,Lenore,Zann,Cumberland—Colchester,Nova Scotia,Liberal
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative
,Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal
